,year,suicides_per_100k_pop,country,Label
0,1987,14.509865384615381,52,Worldwide Average
1,1988,15.03613682092555,48,Worldwide Average
2,1989,15.105958646616534,50,Worldwide Average
3,1990,15.221248073959938,63,Worldwide Average
4,1991,15.927422839506175,61,Worldwide Average
5,1992,15.644219910846969,62,Worldwide Average
6,1993,15.9854074074074,65,Worldwide Average
7,1994,16.26545325779037,67,Worldwide Average
8,1995,18.325225000000003,76,Worldwide Average
9,1996,17.30968176254591,77,Worldwide Average
10,1997,16.9958056580566,76,Worldwide Average
11,1998,17.069396863691207,77,Worldwide Average
12,1999,17.00754406580494,81,Worldwide Average
13,2000,16.966014150943415,83,Worldwide Average
14,2001,16.40886206896553,85,Worldwide Average
15,2002,16.42897228637415,82,Worldwide Average
16,2003,15.938116959064317,84,Worldwide Average
17,2004,15.176694813027753,83,Worldwide Average
18,2005,14.780984204131231,82,Worldwide Average
19,2006,14.836060975609747,80,Worldwide Average
20,2007,14.313852364475206,84,Worldwide Average
21,2008,14.373301775147931,81,Worldwide Average
22,2009,13.74242663656885,86,Worldwide Average
23,2010,13.535645714285717,87,Worldwide Average
24,2011,13.187378190255243,85,Worldwide Average
25,2012,13.24798329355608,79,Worldwide Average
26,2013,13.100294840294831,76,Worldwide Average
27,2014,12.614920440636478,76,Worldwide Average
